transaction_id,timestamp,customer_hash,amount_usd,cross_border,new_beneficiary,cash_equivalent,country_risk,velocity_24h,night_transaction,investigation_label,data_status
txn-00000,2025-01-02 00:00:00+00:00,customer-000,1790.86,0,0,0,1,5,1,0,fictional
txn-00001,2025-01-02 03:00:00+00:00,customer-001,3685.13,1,0,0,0,2,1,0,fictional
txn-00002,2025-01-02 06:00:00+00:00,customer-002,869.47,0,0,0,2,1,0,0,fictional
txn-00003,2025-01-02 09:00:00+00:00,customer-003,40796.03,1,0,0,2,5,0,1,fictional
txn-00004,2025-01-02 12:00:00+00:00,customer-004,3710.84,0,1,0,2,3,0,0,fictional
txn-00005,2025-01-02 15:00:00+00:00,customer-005,15184.88,1,0,0,2,1,0,0,fictional
txn-00006,2025-01-02 18:00:00+00:00,customer-006,2273.97,0,0,1,0,6,0,0,fictional
txn-00007,2025-01-02 21:00:00+00:00,customer-007,3137.69,0,1,0,0,3,0,0,fictional
txn-00008,2025-01-03 00:00:00+00:00,customer-008,1832.15,0,0,0,0,3,1,0,fictional
txn-00009,2025-01-03 03:00:00+00:00,customer-009,7764.56,0,0,0,0,0,1,0,fictional
txn-00010,2025-01-03 06:00:00+00:00,customer-010,1660.18,1,0,0,2,2,0,0,fictional
txn-00011,2025-01-03 09:00:00+00:00,customer-011,729.35,0,0,0,0,0,0,0,fictional
txn-00012,2025-01-03 12:00:00+00:00,customer-012,1455.59,0,0,0,2,2,0,0,fictional
txn-00013,2025-01-03 15:00:00+00:00,customer-013,2236.97,0,0,0,0,3,0,0,fictional
txn-00014,2025-01-03 18:00:00+00:00,customer-014,2731.6,0,0,0,1,3,0,0,fictional
txn-00015,2025-01-03 21:00:00+00:00,customer-015,10220.5,0,0,0,0,2,0,0,fictional
txn-00016,2025-01-04 00:00:00+00:00,customer-016,11168.99,0,0,0,1,1,1,0,fictional
txn-00017,2025-01-04 03:00:00+00:00,customer-017,1075.18,0,1,0,0,3,1,0,fictional
txn-00018,2025-01-04 06:00:00+00:00,customer-018,7051.45,0,0,0,0,3,0,0,fictional
