date,ticker,decision_time,text_available_at,revised_available_at,return_start_at,return_end_at,text_signal,revised_text_signal,latent_regime,next_return,close
2021-01-04,ACME,2021-01-04 16:00:00+00:00,2021-01-04 15:58:00+00:00,2021-01-05 12:00:00+00:00,2021-01-04 16:01:00+00:00,2021-01-05 16:00:00+00:00,0.127589,-0.387776,normal,-0.00984735,99.0153
2021-01-05,ACME,2021-01-05 16:00:00+00:00,2021-01-05 15:58:00+00:00,2021-01-06 12:00:00+00:00,2021-01-05 16:01:00+00:00,2021-01-06 16:00:00+00:00,-0.637633,-1.519663,normal,-0.0215467,96.8818
2021-01-06,ACME,2021-01-06 16:00:00+00:00,2021-01-06 15:58:00+00:00,2021-01-07 12:00:00+00:00,2021-01-06 16:01:00+00:00,2021-01-07 16:00:00+00:00,0.549105,0.251208,normal,-0.00673361,96.2294
2021-01-07,ACME,2021-01-07 16:00:00+00:00,2021-01-07 15:58:00+00:00,2021-01-08 12:00:00+00:00,2021-01-07 16:01:00+00:00,2021-01-08 16:00:00+00:00,1.411765,1.808165,expansion,0.00700007,96.9031
2021-01-08,ACME,2021-01-08 16:00:00+00:00,2021-01-08 15:58:00+00:00,2021-01-09 12:00:00+00:00,2021-01-08 16:01:00+00:00,2021-01-11 16:00:00+00:00,0.339246,-0.152125,normal,-0.00451235,96.4658
2021-01-11,ACME,2021-01-11 16:00:00+00:00,2021-01-11 15:58:00+00:00,2021-01-12 12:00:00+00:00,2021-01-11 16:01:00+00:00,2021-01-12 16:00:00+00:00,1.20156,2.2015,normal,0.01803621,98.2057
2021-01-12,ACME,2021-01-12 16:00:00+00:00,2021-01-12 15:58:00+00:00,2021-01-13 12:00:00+00:00,2021-01-12 16:01:00+00:00,2021-01-13 16:00:00+00:00,-0.147044,-0.784598,expansion,-0.01503599,96.7291
2021-01-13,ACME,2021-01-13 16:00:00+00:00,2021-01-13 15:58:00+00:00,2021-01-14 12:00:00+00:00,2021-01-13 16:01:00+00:00,2021-01-14 16:00:00+00:00,0.108255,-0.500631,normal,-0.01151425,95.6153
2021-01-14,ACME,2021-01-14 16:00:00+00:00,2021-01-14 15:58:00+00:00,2021-01-15 12:00:00+00:00,2021-01-14 16:01:00+00:00,2021-01-15 16:00:00+00:00,-0.352337,-0.165261,normal,0.00349465,95.9494
2021-01-15,ACME,2021-01-15 16:00:00+00:00,2021-01-15 15:58:00+00:00,2021-01-16 12:00:00+00:00,2021-01-15 16:01:00+00:00,2021-01-18 16:00:00+00:00,-0.30191,-0.685734,normal,-0.00990759,94.9988
